,precision,recall,f1-score,support
rice leaf roller,0.18506493506493507,0.5104477611940299,0.2716441620333598,335.0
rice leaf caterpillar,0.0,0.0,0.0,147.0
paddy stem maggot,0.18376068376068377,0.16731517509727625,0.17515274949083504,257.0
asiatic rice borer,0.0,0.0,0.0,138.0
yellow rice borer,0.51947339550192,0.5496227510156704,0.5341229554427523,1723.0
rice gall midge,0.04054054054054054,0.02459016393442623,0.030612244897959183,122.0
Rice Stemfly,0.3333333333333333,0.019230769230769232,0.03636363636363636,52.0
brown plant hopper,0.03333333333333333,0.016260162601626018,0.02185792349726776,123.0
white backed plant hopper,0.31868131868131866,0.4496124031007752,0.3729903536977492,258.0
small brown plant hopper,0.3664516129032258,0.5737373737373738,0.44724409448818897,495.0
rice water weevil,0.29838709677419356,0.27715355805243447,0.287378640776699,267.0
rice leafhopper,0.1111111111111111,0.044444444444444446,0.06349206349206349,45.0
grain spreader thrips,0.19444444444444445,0.3540856031128405,0.25103448275862067,257.0
rice shell pest,0.3333333333333333,0.006756756756756757,0.013245033112582781,148.0
grub,0.0,0.0,0.0,79.0
mole cricket,0.0,0.0,0.0,144.0
wireworm,0.4473684210526316,0.2138364779874214,0.28936170212765955,159.0
white margined moth,0.17182662538699692,0.21764705882352942,0.19204152249134948,510.0
black cutworm,0.08250825082508251,0.07763975155279502,0.08,322.0
large cutworm,0.28056338028169014,0.40520748576078114,0.33155792276964047,1229.0
yellow cutworm,0.22764227642276422,0.16470588235294117,0.19112627986348124,170.0
red spider,0.28664495114006516,0.4230769230769231,0.341747572815534,208.0
corn borer,0.014285714285714285,0.005076142131979695,0.00749063670411985,197.0
army worm,0.0625,0.01020408163265306,0.017543859649122806,98.0
aphids,0.027777777777777776,0.004694835680751174,0.008032128514056224,213.0
Potosiabre vitarsis,0.2465753424657534,0.22784810126582278,0.23684210526315788,316.0
peach borer,0.2661290322580645,0.22602739726027396,0.24444444444444444,146.0
english grain aphid,0.6,0.04285714285714286,0.08,70.0
green bug,1.0,0.013513513513513514,0.02666666666666667,74.0
bird cherry-oataphid,0.6666666666666666,0.022727272727272728,0.04395604395604396,88.0
wheat blossom midge,0.1282051282051282,0.049019607843137254,0.07092198581560284,102.0
penthaleus major,0.0,0.0,0.0,42.0
longlegged spider mite,0.0,0.0,0.0,32.0
wheat phloeothrips,0.3021276595744681,0.29957805907172996,0.3008474576271186,237.0
wheat sawfly,0.25806451612903225,0.0311284046692607,0.05555555555555555,257.0
cerodonta denticornis,0.1696629213483146,0.3132780082987552,0.22011661807580174,482.0
beet fly,0.18110236220472442,0.1513157894736842,0.16487455197132617,152.0
flea beetle,0.3333333333333333,0.022222222222222223,0.041666666666666664,90.0
cabbage army worm,0.20512820512820512,0.09876543209876543,0.13333333333333333,81.0
beet army worm,0.14285714285714285,0.03225806451612903,0.05263157894736842,93.0
Beet spot flies,0.0,0.0,0.0,58.0
meadow moth,0.0,0.0,0.0,158.0
beet weevil,0.16,0.025,0.043243243243243246,320.0
sericaorient alismots chulsky,0.16129032258064516,0.025380710659898477,0.043859649122807015,197.0
alfalfa weevil,0.32222222222222224,0.11788617886178862,0.17261904761904762,246.0
flax budworm,0.2634730538922156,0.315035799522673,0.28695652173913044,419.0
alfalfa plant bug,0.21084337349397592,0.17766497461928935,0.1928374655647383,197.0
tarnished plant bug,0.14469453376205788,0.29605263157894735,0.19438444924406048,152.0
Locustoidea,0.4588477366255144,0.5271867612293144,0.49064906490649063,423.0
lytta polita,0.34048257372654156,0.22280701754385965,0.26935312831389185,570.0
legume blister beetle,0.0,0.0,0.0,78.0
blister beetle,0.0,0.0,0.0,54.0
therioaphis maculata Buckton,0.07017543859649122,0.015151515151515152,0.024922118380062305,264.0
odontothrips loti,0.0,0.0,0.0,56.0
Thrips,0.31666666666666665,0.40425531914893614,0.35514018691588783,141.0
alfalfa seed chalcid,0.2916666666666667,0.06086956521739131,0.10071942446043165,115.0
Pieris canidia,0.35547576301615796,0.47030878859857483,0.4049079754601227,421.0
Apolygus lucorum,0.05970149253731343,0.037383177570093455,0.04597701149425287,107.0
Limacodidae,0.25,0.009009009009009009,0.017391304347826087,111.0
Viteus vitifoliae,0.0,0.0,0.0,53.0
Colomerus vitis,0.0,0.0,0.0,24.0
Brevipoalpus lewisi McGregor,0.45454545454545453,0.4117647058823529,0.43209876543209874,85.0
oides decempunctata,0.0,0.0,0.0,26.0
Polyphagotars onemus latus,0.375,0.03225806451612903,0.0594059405940594,93.0
Pseudococcus comstocki Kuwana,0.0,0.0,0.0,42.0
parathrene regalis,0.29411764705882354,0.08695652173913043,0.1342281879194631,230.0
Ampelophaga,0.45537065052950076,0.7553324968632371,0.5681925436526664,1594.0
Lycorma delicatula,0.3003194888178914,0.27246376811594203,0.2857142857142857,345.0
Xylotrechus,0.38372093023255816,0.515625,0.44,384.0
Cicadella viridis,0.12,0.10756972111553785,0.1134453781512605,251.0
Miridae,0.3807291666666667,0.479344262295082,0.4243831640058055,1525.0
Trialeurodes vaporariorum,0.33725490196078434,0.41346153846153844,0.3714902807775378,208.0
Erythroneura apicalis,0.0,0.0,0.0,22.0
Papilio xuthus,0.2112676056338028,0.7777777777777778,0.3322784810126582,135.0
Panonchus citri McGregor,0.27860696517412936,0.4827586206896552,0.35331230283911674,116.0
Phyllocoptes oleiverus ashmead,1.0,0.019230769230769232,0.03773584905660377,52.0
Icerya purchasi Maskell,0.2079646017699115,0.21658986175115208,0.21218961625282168,217.0
Unaspis yanonensis,0.4186046511627907,0.14285714285714285,0.21301775147928995,126.0
Ceroplastes rubens,0.3225806451612903,0.1282051282051282,0.1834862385321101,78.0
Chrysomphalus aonidum,0.2222222222222222,0.029411764705882353,0.05194805194805195,68.0
Parlatoria zizyphus Lucus,0.06998158379373849,0.1417910447761194,0.093711467324291,268.0
Nipaecoccus vastalor,0.0,0.0,0.0,23.0
Aleurocanthus spiniferus,0.0,0.0,0.0,30.0
Tetradacus c Bactrocera minax,0.18992248062015504,0.47115384615384615,0.27071823204419887,208.0
Dacus dorsalis(Hendel),0.4842105263157895,0.39316239316239315,0.4339622641509434,117.0
Bactrocera tsuneonis,0.21052631578947367,0.09090909090909091,0.12698412698412698,132.0
Prodenia litura,0.0,0.0,0.0,51.0
Adristyrannus,0.21026490066225165,0.3239795918367347,0.25502008032128515,392.0
Phyllocnistis citrella Stainton,0.42105263157894735,0.0851063829787234,0.1415929203539823,94.0
Toxoptera citricidus,0.09090909090909091,0.00819672131147541,0.015037593984962405,122.0
Toxoptera aurantii,0.0,0.0,0.0,57.0
Aphis citricola Vander Goot,0.05970149253731343,0.024096385542168676,0.034334763948497854,166.0
Scirtothrips dorsalis Hood,0.0,0.0,0.0,68.0
Dasineura sp,0.07142857142857142,0.009433962264150943,0.016666666666666666,106.0
Lawana imitata Melichar,0.25862068965517243,0.06172839506172839,0.09966777408637874,243.0
Salurnis marginella Guerr,0.1,0.013157894736842105,0.023255813953488372,152.0
Deporaus marginatus Pascoe,0.22077922077922077,0.29310344827586204,0.2518518518518518,174.0
Chlumetia transversa,0.3700787401574803,0.3197278911564626,0.34306569343065696,147.0
Mango flat beak leafhopper,0.5,0.06349206349206349,0.11267605633802817,63.0
Rhytidodera bowrinii white,0.5,0.03260869565217391,0.061224489795918366,92.0
Sternochetus frigidus,0.0,0.0,0.0,28.0
Cicadellidae,0.19130434782608696,0.1317365269461078,0.15602836879432624,167.0
