,precision,recall,f1-score,support
rice leaf roller,0.6347826086956522,0.6537313432835821,0.6441176470588236,335.0
rice leaf caterpillar,0.5054945054945055,0.3129251700680272,0.3865546218487395,147.0
paddy stem maggot,0.7186311787072244,0.7354085603112841,0.7269230769230769,257.0
asiatic rice borer,0.7757009345794392,0.6014492753623188,0.6775510204081633,138.0
yellow rice borer,0.8842592592592593,0.8868253047011028,0.8855404230657781,1723.0
rice gall midge,0.48484848484848486,0.39344262295081966,0.4343891402714932,122.0
Rice Stemfly,0.6170212765957447,0.5576923076923077,0.5858585858585859,52.0
brown plant hopper,0.2923076923076923,0.3089430894308943,0.30039525691699603,123.0
white backed plant hopper,0.8545454545454545,0.9108527131782945,0.8818011257035647,258.0
small brown plant hopper,0.937984496124031,0.9777777777777777,0.9574678536102869,495.0
rice water weevil,0.7898305084745763,0.8726591760299626,0.8291814946619217,267.0
rice leafhopper,0.3829787234042553,0.4,0.391304347826087,45.0
grain spreader thrips,0.5311475409836065,0.6303501945525292,0.5765124555160143,257.0
rice shell pest,0.3707865168539326,0.22297297297297297,0.27848101265822783,148.0
grub,0.6363636363636364,0.17721518987341772,0.27722772277227725,79.0
mole cricket,0.4603174603174603,0.4027777777777778,0.42962962962962964,144.0
wireworm,0.6626506024096386,0.6918238993710691,0.676923076923077,159.0
white margined moth,0.7095588235294118,0.7568627450980392,0.7324478178368121,510.0
black cutworm,0.5649717514124294,0.6211180124223602,0.591715976331361,322.0
large cutworm,0.7330882352941176,0.8112286411716843,0.7701815372730784,1229.0
yellow cutworm,0.9036144578313253,0.8823529411764706,0.8928571428571429,170.0
red spider,0.7794117647058824,0.7644230769230769,0.7718446601941747,208.0
corn borer,0.4772727272727273,0.3197969543147208,0.3829787234042553,197.0
army worm,0.33783783783783783,0.25510204081632654,0.29069767441860467,98.0
aphids,0.436046511627907,0.352112676056338,0.38961038961038963,213.0
Potosiabre vitarsis,0.62109375,0.5031645569620253,0.5559440559440559,316.0
peach borer,0.8466257668711656,0.9452054794520548,0.8932038834951457,146.0
english grain aphid,0.7627118644067796,0.6428571428571429,0.6976744186046512,70.0
green bug,0.5405405405405406,0.5405405405405406,0.5405405405405406,74.0
bird cherry-oataphid,0.6666666666666666,0.5454545454545454,0.6,88.0
wheat blossom midge,0.7864077669902912,0.7941176470588235,0.7902439024390244,102.0
penthaleus major,0.5454545454545454,0.42857142857142855,0.48,42.0
longlegged spider mite,0.6,375,0.46153846153846156,32.0
wheat phloeothrips,0.8483606557377049,0.8734177215189873,0.8607068607068608,237.0
wheat sawfly,0.49230769230769234,0.3735408560311284,0.4247787610619469,257.0
cerodonta denticornis,0.5625,0.5975103734439834,0.579476861167002,482.0
beet fly,0.5657142857142857,0.6513157894736842,0.6055045871559633,152.0
