,precision,recall,f1-score,support
rice leaf roller,0.6321070234113713,0.564179104477612,0.5962145110410094,335.0
rice leaf caterpillar,0.45161290322580644,0.2857142857142857,0.35,147.0
paddy stem maggot,0.5571847507331378,0.7392996108949417,0.6354515050167224,257.0
asiatic rice borer,0.7029702970297029,0.5144927536231884,0.5941422594142259,138.0
yellow rice borer,0.8845686512758202,0.845037724898433,0.8643514395963194,1723.0
rice gall midge,0.41509433962264153,0.36065573770491804,0.38596491228070173,122.0
Rice Stemfly,0.65625,0.40384615384615385,0.5,52.0
brown plant hopper,0.2214765100671141,0.2682926829268293,0.2426470588235294,123.0
white backed plant hopper,0.8252788104089219,0.8604651162790697,0.8425047438330171,258.0
small brown plant hopper,0.92578125,0.9575757575757575,0.9414101290963257,495.0
rice water weevil,0.7559322033898305,0.8352059925093633,0.7935943060498221,267.0
rice leafhopper,0.19101123595505617,0.37777777777777777,0.2537313432835821,45.0
grain spreader thrips,0.43089430894308944,0.6186770428015564,0.5079872204472844,257.0
rice shell pest,0.18840579710144928,0.08783783783783784,0.11981566820276497,148.0
grub,0.44,0.13924050632911392,0.21153846153846154,79.0
mole cricket,0.3467741935483871,0.2986111111111111,0.3208955223880597,144.0
wireworm,0.5847953216374269,0.6289308176100629,0.6060606060606061,159.0
white margined moth,0.6305084745762712,0.7294117647058823,0.6763636363636364,510.0
black cutworm,0.4796747967479675,0.5496894409937888,0.5123010130246021,322.0
large cutworm,0.6657590197413207,0.7957689178193653,0.7249814677538917,1229.0
yellow cutworm,0.884393063583815,0.9,0.892128279883382,170.0
red spider,0.8773006134969326,0.6875,0.77088948787062,208.0
corn borer,0.47692307692307695,0.3147208121827411,0.37920489296636084,197.0
army worm,0.32727272727272727,0.1836734693877551,0.23529411764705882,98.0
aphids,0.44366197183098594,0.29577464788732394,0.35492957746478876,213.0
Potosiabre vitarsis,0.6103896103896104,0.4462025316455696,0.5155393053016454,316.0
peach borer,0.7904191616766467,0.9041095890410958,0.8434504792332268,146.0
english grain aphid,0.6615384615384615,0.6142857142857143,0.6370370370370371,70.0
green bug,0.4044943820224719,0.4864864864864865,0.44171779141104295,74.0
bird cherry-oataphid,0.5862068965517241,0.5795454545454546,0.5828571428571429,88.0
wheat blossom midge,0.7087378640776699,0.7156862745098039,0.7121951219512195,102.0
penthaleus major,0.5151515151515151,0.40476190476190477,0.4533333333333333,42.0
longlegged spider mite,0.2857142857142857,0.1875,0.22641509433962265,32.0
wheat phloeothrips,0.7931034482758621,0.8734177215189873,0.8313253012048193,237.0
wheat sawfly,0.42441860465116277,0.2840466926070039,0.34032634032634035,257.0
cerodonta denticornis,0.46166394779771613,0.5871369294605809,0.5168949771689497,482.0
beet fly,0.5028901734104047,0.5723684210526315,0.5353846153846153,152.0
flea beetle,0.5333333333333333,0.6222222222222222,0.5743589743589743,90.0
cabbage army worm,0.6363636363636364,0.6049382716049383,0.620253164556962,81.0
beet army worm,0.4479166666666667,0.46236559139784944,0.455026455026455,93.0
Beet spot flies,0.9111111111111111,0.7068965517241379,0.7961165048543689,58.0
meadow moth,0.49444444444444446,0.5632911392405063,0.5266272189349113,158.0
beet weevil,0.46875,0.28125,0.3515625,320.0
sericaorient alismots chulsky,0.4966442953020134,0.3756345177664975,0.4277456647398844,197.0
alfalfa weevil,0.48375451263537905,0.5447154471544715,0.5124282982791587,246.0
flax budworm,0.8461538461538461,0.918854415274463,0.8810068649885584,419.0
alfalfa plant bug,0.6946564885496184,0.4619289340101523,0.5548780487804879,197.0
tarnished plant bug,0.5634517766497462,0.7302631578947368,0.6361031518624641,152.0
Locustoidea,0.7169811320754716,0.7186761229314421,0.717827626918536,423.0
lytta polita,0.7,0.6754385964912281,0.6875,570.0
legume blister beetle,0.35294117647058826,0.07692307692307693,0.12631578947368421,78.0
blister beetle,0.6153846153846154,0.4444444444444444,0.5161290322580645,54.0
therioaphis maculata Buckton,0.3371757925072046,0.4431818181818182,0.3829787234042553,264.0
odontothrips loti,525,375,0.4375,56.0
Thrips,0.9041095890410958,0.9361702127659575,0.9198606271777003,141.0
alfalfa seed chalcid,0.5625,0.391304347826087,0.46153846153846156,115.0
Pieris canidia,0.9014084507042254,0.9121140142517815,0.9067296340023613,421.0
