,precision,recall,f1-score,support
rice leaf roller,0.6023391812865497,0.6149253731343284,0.6085672082717873,335.0
rice leaf caterpillar,0.4489795918367347,0.29931972789115646,0.35918367346938773,147.0
paddy stem maggot,0.6643598615916955,0.7470817120622568,0.7032967032967034,257.0
asiatic rice borer,0.7226890756302521,0.6231884057971014,0.669260700389105,138.0
yellow rice borer,0.8721272834413671,0.8589669181659896,0.8654970760233918,1723.0
rice gall midge,0.504950495049505,0.4180327868852459,0.45739910313901344,122.0
Rice Stemfly,0.6666666666666666,0.46153846153846156,0.5454545454545454,52.0
brown plant hopper,0.2777777777777778,0.3252032520325203,0.299625468164794,123.0
white backed plant hopper,0.8327402135231317,0.9069767441860465,0.8682745825602969,258.0
small brown plant hopper,944,0.9535353535353536,0.9487437185929648,495.0
rice water weevil,0.7588652482269503,0.8014981273408239,0.7795992714025501,267.0
rice leafhopper,0.5,0.26666666666666666,0.34782608695652173,45.0
grain spreader thrips,0.5,0.688715953307393,0.5793780687397708,257.0
rice shell pest,0.17391304347826086,0.08108108108108109,0.11059907834101383,148.0
grub,0.5,0.12658227848101267,0.20202020202020202,79.0
mole cricket,0.4588235294117647,0.2708333333333333,0.3406113537117904,144.0
wireworm,0.7111111111111111,0.6037735849056604,0.6530612244897959,159.0
white margined moth,0.6612612612612613,0.7196078431372549,0.6892018779342723,510.0
black cutworm,0.5373134328358209,0.5590062111801242,0.547945205479452,322.0
large cutworm,0.6850789096126255,0.7770545158665582,0.7281738467403737,1229.0
yellow cutworm,0.8604651162790697,0.8705882352941177,0.8654970760233918,170.0
red spider,0.7794871794871795,0.7307692307692307,0.7543424317617866,208.0
corn borer,0.4125,0.3350253807106599,0.3697478991596639,197.0
army worm,0.3188405797101449,0.22448979591836735,0.2634730538922156,98.0
aphids,0.4271356783919598,0.39906103286384975,0.41262135922330095,213.0
Potosiabre vitarsis,0.5823754789272031,0.4810126582278481,0.5268630849220104,316.0
peach borer,0.7764705882352941,0.9041095890410958,0.8354430379746836,146.0
english grain aphid,0.8392857142857143,0.6714285714285714,0.746031746031746,70.0
green bug,0.5671641791044776,0.5135135135135135,0.5390070921985816,74.0
bird cherry-oataphid,0.5151515151515151,0.5795454545454546,0.5454545454545454,88.0
wheat blossom midge,0.7572815533980582,0.7647058823529411,0.7609756097560976,102.0
penthaleus major,0.4722222222222222,0.40476190476190477,0.4358974358974359,42.0
longlegged spider mite,0.6153846153846154,0.25,0.35555555555555557,32.0
wheat phloeothrips,0.8423236514522822,0.8565400843881856,0.8493723849372385,237.0
wheat sawfly,0.45588235294117646,0.36186770428015563,0.403470715835141,257.0
cerodonta denticornis,0.5732758620689655,0.5518672199170125,0.5623678646934461,482.0
beet fly,0.5882352941176471,0.5921052631578947,0.5901639344262295,152.0
flea beetle,0.6176470588235294,0.7,0.65625,90.0
cabbage army worm,0.7714285714285715,0.6666666666666666,0.7152317880794702,81.0
beet army worm,0.4942528735632184,0.46236559139784944,0.4777777777777778,93.0
Beet spot flies,0.78,0.6724137931034483,0.7222222222222222,58.0
meadow moth,0.5097087378640777,0.6645569620253164,0.5769230769230769,158.0
beet weevil,0.3838383838383838,0.35625,0.3695299837925446,320.0
sericaorient alismots chulsky,0.42971887550200805,0.5431472081218274,0.4798206278026906,197.0
alfalfa weevil,0.5390625,0.5609756097560976,0.549800796812749,246.0
flax budworm,0.835920177383592,0.8997613365155132,0.8666666666666667,419.0
alfalfa plant bug,0.6691176470588235,0.4619289340101523,0.5465465465465466,197.0
tarnished plant bug,0.553921568627451,0.743421052631579,0.6348314606741573,152.0
Locustoidea,0.7142857142857143,0.7446808510638298,0.7291666666666666,423.0
lytta polita,0.6890130353817505,0.6491228070175439,0.6684733514001807,570.0
legume blister beetle,0.21428571428571427,0.07692307692307693,0.11320754716981132,78.0
blister beetle,0.6764705882352942,0.42592592592592593,0.5227272727272727,54.0
therioaphis maculata Buckton,0.4830917874396135,0.3787878787878788,0.42462845010615713,264.0
odontothrips loti,0.4423076923076923,0.4107142857142857,0.42592592592592593,56.0
Thrips,0.9178082191780822,0.950354609929078,0.9337979094076655,141.0
alfalfa seed chalcid,0.36496350364963503,0.43478260869565216,0.3968253968253968,115.0
Pieris canidia,0.9191919191919192,0.8646080760095012,0.8910648714810282,421.0
Apolygus lucorum,0.6808510638297872,0.5981308411214953,0.6368159203980099,107.0
Limacodidae,0.40236686390532544,0.6126126126126126,0.4857142857142857,111.0
Viteus vitifoliae,0.6444444444444445,0.5471698113207547,0.5918367346938775,53.0
Colomerus vitis,0.7692307692307693,0.8333333333333334,0.8,24.0
Brevipoalpus lewisi McGregor,0.9425287356321839,0.9647058823529412,0.9534883720930233,85.0
oides decempunctata,0.6470588235294118,0.4230769230769231,0.5116279069767442,26.0
Polyphagotars onemus latus,0.5888888888888889,0.5698924731182796,0.5792349726775956,93.0
Pseudococcus comstocki Kuwana,0.6382978723404256,0.7142857142857143,0.6741573033707865,42.0
parathrene regalis,0.7510729613733905,0.7608695652173914,0.755939524838013,230.0
Ampelophaga,0.8276869158878505,0.8889585947302384,0.8572292800967937,1594.0
Lycorma delicatula,0.849112426035503,0.8318840579710145,0.8404099560761347,345.0
Xylotrechus,0.804177545691906,0.8020833333333334,0.803129074315515,384.0
Cicadella viridis,0.4559748427672956,0.5776892430278885,0.5096660808435852,251.0
Miridae,0.833570412517781,0.7685245901639344,0.799727055612419,1525.0
Trialeurodes vaporariorum,0.7934272300469484,0.8125,0.8028503562945368,208.0
Erythroneura apicalis,0.7058823529411765,0.5454545454545454,0.6153846153846154,22.0
Papilio xuthus,0.8979591836734694,0.9777777777777777,0.9361702127659575,135.0
Panonchus citri McGregor,0.6258503401360545,0.7931034482758621,0.6996197718631179,116.0
Phyllocoptes oleiverus ashmead,0.6875,0.6346153846153846,0.66,52.0
Icerya purchasi Maskell,0.8027522935779816,0.8064516129032258,0.8045977011494253,217.0
Unaspis yanonensis,0.7265625,0.7380952380952381,0.7322834645669292,126.0
Ceroplastes rubens,0.863013698630137,0.8076923076923077,0.8344370860927153,78.0
Chrysomphalus aonidum,0.6875,0.6470588235294118,0.6666666666666666,68.0
Parlatoria zizyphus Lucus,0.41233766233766234,0.47388059701492535,0.4409722222222222,268.0
Nipaecoccus vastalor,0.5517241379310345,0.6956521739130435,0.6153846153846154,23.0
Aleurocanthus spiniferus,0.47619047619047616,0.3333333333333333,0.39215686274509803,30.0
Tetradacus c Bactrocera minax,0.8537735849056604,0.8701923076923077,0.861904761904762,208.0
Dacus dorsalis(Hendel),0.7606837606837606,0.7606837606837606,0.7606837606837606,117.0
Bactrocera tsuneonis,0.65,0.6893939393939394,0.6691176470588235,132.0
Prodenia litura,0.47058823529411764,0.3137254901960784,0.3764705882352941,51.0
Adristyrannus,0.658974358974359,0.6556122448979592,0.6572890025575447,392.0
Phyllocnistis citrella Stainton,0.6448598130841121,0.7340425531914894,0.6865671641791045,94.0
Toxoptera citricidus,0.796875,0.8360655737704918,816,122.0
Toxoptera aurantii,0.4166666666666667,0.3508771929824561,0.38095238095238093,57.0
Aphis citricola Vander Goot,0.5083333333333333,0.3674698795180723,0.42657342657342656,166.0
Scirtothrips dorsalis Hood,0.5373134328358209,0.5294117647058824,0.5333333333333333,68.0
Dasineura sp,0.6276595744680851,0.5566037735849056,0.59,106.0
Lawana imitata Melichar,0.6194029850746269,0.6831275720164609,0.649706457925636,243.0
Salurnis marginella Guerr,0.4148471615720524,625,0.49868766404199477,152.0
Deporaus marginatus Pascoe,0.6837209302325581,0.8448275862068966,0.7557840616966581,174.0
Chlumetia transversa,0.7878787878787878,0.7074829931972789,0.7455197132616488,147.0
Mango flat beak leafhopper,0.7058823529411765,0.5714285714285714,0.631578947368421,63.0
Rhytidodera bowrinii white,0.5333333333333333,0.43478260869565216,0.47904191616766467,92.0
Sternochetus frigidus,0.5789473684210527,0.39285714285714285,0.46808510638297873,28.0
Cicadellidae,0.6203208556149733,0.6946107784431138,0.655367231638418,167.0
accuracy,0.6937088288606923,0.6937088288606923,0.6937088288606923,0.6937088288606923
macro avg,0.6308680079293967,0.608229363507135,0.6123880918503268,22619.0
weighted avg,0.6912017493043819,0.6937088288606923,0.6889137605169363,22619.0
