,precision,recall,f1-score,support
rice leaf roller,0.6173913043478261,0.6358208955223881,0.6264705882352941,335.0
rice leaf caterpillar,0.4642857142857143,0.35374149659863946,0.4015444015444015,147.0
paddy stem maggot,0.6607773851590106,0.7276264591439688,0.6925925925925925,257.0
asiatic rice borer,0.75,0.6304347826086957,0.6850393700787402,138.0
yellow rice borer,0.8829151732377539,0.8578061520603598,0.8701795702090079,1723.0
rice gall midge,0.504950495049505,0.4180327868852459,0.45739910313901344,122.0
Rice Stemfly,0.631578947368421,0.46153846153846156,0.5333333333333333,52.0
brown plant hopper,0.2785714285714286,0.3170731707317073,0.2965779467680608,123.0
white backed plant hopper,0.8712121212121212,0.8914728682170543,0.8812260536398467,258.0
small brown plant hopper,0.9516129032258065,0.9535353535353536,0.9525731584258325,495.0
rice water weevil,0.7943262411347518,0.8389513108614233,0.8160291438979964,267.0
rice leafhopper,0.4857142857142857,0.37777777777777777,425,45.0
grain spreader thrips,0.5155709342560554,0.5797665369649806,0.5457875457875457,257.0
rice shell pest,0.2375,0.12837837837837837,0.16666666666666666,148.0
grub,0.65,0.16455696202531644,0.26262626262626265,79.0
mole cricket,0.3875,0.4305555555555556,0.40789473684210525,144.0
wireworm,0.6976744186046512,0.5660377358490566,625,159.0
white margined moth,0.6806569343065694,0.7313725490196078,0.7051039697542533,510.0
black cutworm,0.523943661971831,0.577639751552795,0.5494830132939439,322.0
large cutworm,0.7016248153618907,0.772986167615948,0.7355787843592722,1229.0
yellow cutworm,0.9125,0.8588235294117647,0.8848484848484849,170.0
red spider,0.7619047619047619,0.7692307692307693,0.7655502392344498,208.0
corn borer,0.436046511627907,0.38071065989847713,0.4065040650406504,197.0
army worm,0.2826086956521739,0.2653061224489796,0.2736842105263158,98.0
aphids,0.4228571428571429,0.3474178403755869,0.38144329896907214,213.0
Potosiabre vitarsis,0.6286919831223629,0.47151898734177217,0.538878842676311,316.0
peach borer,0.8011695906432749,0.9383561643835616,0.8643533123028391,146.0
english grain aphid,0.803921568627451,0.5857142857142857,0.6776859504132231,70.0
green bug,0.5507246376811594,0.5135135135135135,0.5314685314685315,74.0
bird cherry-oataphid,0.5853658536585366,0.5454545454545454,0.5647058823529412,88.0
wheat blossom midge,0.6610169491525424,0.7647058823529411,0.7090909090909091,102.0
penthaleus major,0.47368421052631576,0.42857142857142855,0.45,42.0
longlegged spider mite,0.47058823529411764,0.25,0.32653061224489793,32.0
wheat phloeothrips,0.8514056224899599,0.8945147679324894,0.8724279835390947,237.0
wheat sawfly,0.46,0.35797665369649806,0.4026258205689278,257.0
cerodonta denticornis,0.5802197802197803,0.5477178423236515,0.5635005336179295,482.0
beet fly,0.5652173913043478,0.5986842105263158,0.5814696485623003,152.0
flea beetle,0.5932203389830508,0.7777777777777778,0.6730769230769231,90.0
cabbage army worm,0.8082191780821918,0.7283950617283951,0.7662337662337663,81.0
beet army worm,0.5048543689320388,0.5591397849462365,0.5306122448979592,93.0
Beet spot flies,0.8163265306122449,0.6896551724137931,0.7476635514018691,58.0
meadow moth,0.6217948717948718,0.6139240506329114,0.6178343949044586,158.0
beet weevil,0.43214285714285716,0.378125,0.4033333333333333,320.0
sericaorient alismots chulsky,0.46601941747572817,0.4873096446700508,0.47642679900744417,197.0
alfalfa weevil,0.5342960288808665,0.6016260162601627,0.5659655831739961,246.0
flax budworm,0.8584269662921349,0.9116945107398569,0.8842592592592593,419.0
alfalfa plant bug,0.6870229007633588,0.45685279187817257,0.5487804878048781,197.0
tarnished plant bug,0.5901639344262295,0.7105263157894737,0.6447761194029851,152.0
Locustoidea,0.6679920477137177,0.7943262411347518,0.7257019438444925,423.0
lytta polita,0.7080867850098619,0.6298245614035087,0.6666666666666666,570.0
legume blister beetle,0.1875,0.11538461538461539,0.14285714285714285,78.0
blister beetle,675,0.5,0.574468085106383,54.0
therioaphis maculata Buckton,0.3945578231292517,0.4393939393939394,0.4157706093189964,264.0
odontothrips loti,0.46,0.4107142857142857,0.4339622641509434,56.0
Thrips,0.9637681159420289,0.9432624113475178,0.953405017921147,141.0
alfalfa seed chalcid,0.4406779661016949,0.45217391304347826,0.44635193133047213,115.0
Pieris canidia,0.9316455696202531,0.8741092636579573,0.9019607843137255,421.0
Apolygus lucorum,0.8160919540229885,0.6635514018691588,0.7319587628865979,107.0
Limacodidae,0.5075757575757576,0.6036036036036037,0.551440329218107,111.0
Viteus vitifoliae,0.6086956521739131,0.5283018867924528,0.5656565656565656,53.0
Colomerus vitis,0.9047619047619048,0.7916666666666666,0.8444444444444444,24.0
Brevipoalpus lewisi McGregor,0.9512195121951219,0.9176470588235294,0.9341317365269461,85.0
oides decempunctata,0.45454545454545453,0.19230769230769232,0.2702702702702703,26.0
Polyphagotars onemus latus,0.59375,0.6129032258064516,0.6031746031746031,93.0
Pseudococcus comstocki Kuwana,0.6956521739130435,0.7619047619047619,0.7272727272727273,42.0
parathrene regalis,0.7543103448275862,0.7608695652173914,0.7575757575757576,230.0
Ampelophaga,0.8101694915254237,0.8996235884567126,0.8525564803804994,1594.0
Lycorma delicatula,0.8938906752411575,0.8057971014492754,0.8475609756097561,345.0
Xylotrechus,0.785024154589372,0.8463541666666666,0.8145363408521303,384.0
Cicadella viridis,0.5117056856187291,0.6095617529880478,0.5563636363636364,251.0
Miridae,0.8364912280701754,0.7816393442622951,0.808135593220339,1525.0
Trialeurodes vaporariorum,0.812206572769953,0.8317307692307693,0.8218527315914489,208.0
Erythroneura apicalis,0.6363636363636364,0.6363636363636364,0.6363636363636364,22.0
Papilio xuthus,0.9041095890410958,0.9777777777777777,0.9395017793594306,135.0
Panonchus citri McGregor,0.6038961038961039,0.8017241379310345,0.6888888888888889,116.0
Phyllocoptes oleiverus ashmead,0.6938775510204082,0.6538461538461539,0.6732673267326733,52.0
Icerya purchasi Maskell,0.7808219178082192,0.7880184331797235,0.7844036697247706,217.0
Unaspis yanonensis,0.7631578947368421,0.6904761904761905,725,126.0
Ceroplastes rubens,0.8023255813953488,0.8846153846153846,0.8414634146341463,78.0
Chrysomphalus aonidum,0.6301369863013698,0.6764705882352942,0.6524822695035462,68.0
Parlatoria zizyphus Lucus,0.4236760124610592,0.5074626865671642,0.4617996604414261,268.0
Nipaecoccus vastalor,0.6818181818181818,0.6521739130434783,0.6666666666666666,23.0
Aleurocanthus spiniferus,0.5555555555555556,0.3333333333333333,0.4166666666666667,30.0
Tetradacus c Bactrocera minax,0.8679245283018868,0.8846153846153846,0.8761904761904762,208.0
Dacus dorsalis(Hendel),0.7096774193548387,0.7521367521367521,0.7302904564315352,117.0
Bactrocera tsuneonis,0.6470588235294118,0.75,0.6947368421052632,132.0
Prodenia litura,0.5555555555555556,0.29411764705882354,0.38461538461538464,51.0
Adristyrannus,0.6370023419203747,0.6938775510204082,0.6642246642246642,392.0
Phyllocnistis citrella Stainton,0.6442307692307693,0.7127659574468085,0.6767676767676768,94.0
Toxoptera citricidus,0.796875,0.8360655737704918,816,122.0
Toxoptera aurantii,0.41379310344827586,0.42105263157894735,0.41739130434782606,57.0
Aphis citricola Vander Goot,0.5408163265306123,0.3192771084337349,0.4015151515151515,166.0
Scirtothrips dorsalis Hood,0.5138888888888888,0.5441176470588235,0.5285714285714286,68.0
