,precision,recall,f1-score,support
rice leaf roller,0.6405228758169934,0.5850746268656717,0.6115444617784711,335.0
rice leaf caterpillar,0.6666666666666666,0.272108843537415,0.3864734299516908,147.0
paddy stem maggot,0.7165991902834008,0.688715953307393,0.7023809523809523,257.0
asiatic rice borer,0.7522935779816514,0.5942028985507246,0.6639676113360324,138.0
yellow rice borer,0.8529411764705882,0.824724318049913,0.8385954558866923,1723.0
rice gall midge,0.31333333333333335,0.38524590163934425,0.34558823529411764,122.0
Rice Stemfly,0.4716981132075472,0.4807692307692308,0.47619047619047616,52.0
brown plant hopper,0.25,0.2764227642276423,0.2625482625482625,123.0
white backed plant hopper,0.795774647887324,0.875968992248062,0.8339483394833949,258.0
small brown plant hopper,0.9397590361445783,0.9454545454545454,0.9425981873111783,495.0
rice water weevil,0.7762237762237763,0.8314606741573034,0.8028933092224232,267.0
rice leafhopper,0.9,0.2,0.32727272727272727,45.0
grain spreader thrips,0.4631043256997455,0.708171206225681,0.56,257.0
rice shell pest,0.18840579710144928,0.08783783783783784,0.11981566820276497,148.0
grub,0.45454545454545453,0.06329113924050633,0.1111111111111111,79.0
mole cricket,0.33884297520661155,0.2847222222222222,0.30943396226415093,144.0
wireworm,0.7043478260869566,0.5094339622641509,0.5912408759124088,159.0
white margined moth,0.6481149012567325,0.707843137254902,0.676663542642924,510.0
black cutworm,0.5904059040590406,0.4968944099378882,0.5396290050590219,322.0
large cutworm,0.6778523489932886,0.7396257119609438,0.7073929961089495,1229.0
yellow cutworm,0.5977011494252874,0.9176470588235294,0.7238979118329466,170.0
red spider,0.8757763975155279,0.6778846153846154,0.7642276422764228,208.0
corn borer,0.45,0.09137055837563451,0.1518987341772152,197.0
army worm,0.3064516129032258,0.19387755102040816,0.2375,98.0
aphids,0.2958904109589041,0.5070422535211268,0.3737024221453287,213.0
Potosiabre vitarsis,0.6588785046728972,0.4462025316455696,0.5320754716981132,316.0
peach borer,0.9285714285714286,0.7123287671232876,0.8062015503875969,146.0
english grain aphid,0.6610169491525424,0.5571428571428572,0.6046511627906976,70.0
green bug,0.46774193548387094,0.3918918918918919,0.4264705882352941,74.0
bird cherry-oataphid,0.5,0.5,0.5,88.0
wheat blossom midge,0.8636363636363636,0.5588235294117647,0.6785714285714286,102.0
penthaleus major,0.5185185185185185,0.3333333333333333,0.4057971014492754,42.0
longlegged spider mite,0.4117647058823529,0.4375,0.42424242424242425,32.0
wheat phloeothrips,0.8209606986899564,0.7932489451476793,0.8068669527896996,237.0
wheat sawfly,0.4666666666666667,0.32684824902723736,0.38443935926773454,257.0
cerodonta denticornis,0.5357142857142857,0.5912863070539419,0.5621301775147929,482.0
beet fly,0.6153846153846154,0.5263157894736842,0.5673758865248227,152.0
flea beetle,0.6986301369863014,0.5666666666666667,0.6257668711656442,90.0
cabbage army worm,0.8103448275862069,0.5802469135802469,0.6762589928057554,81.0
beet army worm,0.5357142857142857,0.4838709677419355,0.5084745762711864,93.0
Beet spot flies,0.9428571428571428,0.5689655172413793,0.7096774193548387,58.0
meadow moth,0.7377049180327869,0.569620253164557,0.6428571428571429,158.0
beet weevil,0.3769230769230769,0.30625,0.33793103448275863,320.0
sericaorient alismots chulsky,0.5471698113207547,0.29441624365482233,0.38283828382838286,197.0
alfalfa weevil,0.5939849624060151,0.32113821138211385,0.41688654353562005,246.0
flax budworm,0.7281746031746031,0.8758949880668258,0.7952329360780065,419.0
alfalfa plant bug,0.711864406779661,0.4263959390862944,0.5333333333333333,197.0
tarnished plant bug,0.6758620689655173,0.6447368421052632,0.6599326599326599,152.0
Locustoidea,0.6898876404494382,0.7257683215130024,0.7073732718894009,423.0
lytta polita,0.6207455429497569,0.6719298245614035,0.645324347093513,570.0
legume blister beetle,0.17567567567567569,0.16666666666666666,0.17105263157894737,78.0
blister beetle,0.8333333333333334,0.18518518518518517,0.30303030303030304,54.0
therioaphis maculata Buckton,0.32,0.45454545454545453,0.3755868544600939,264.0
odontothrips loti,0.4716981132075472,0.44642857142857145,0.45871559633027525,56.0
Thrips,0.9555555555555556,0.9148936170212766,0.9347826086956522,141.0
alfalfa seed chalcid,0.4247787610619469,0.41739130434782606,0.42105263157894735,115.0
Pieris canidia,0.9196891191709845,0.8432304038004751,0.8798017348203222,421.0
Apolygus lucorum,0.5461538461538461,0.6635514018691588,0.5991561181434599,107.0
Limacodidae,0.44666666666666666,0.6036036036036037,0.5134099616858238,111.0
Viteus vitifoliae,0.7894736842105263,0.5660377358490566,0.6593406593406593,53.0
Colomerus vitis,0.782608695652174,0.75,0.7659574468085106,24.0
Brevipoalpus lewisi McGregor,0.9090909090909091,0.9411764705882353,0.9248554913294798,85.0
oides decempunctata,0.5833333333333334,0.2692307692307692,0.3684210526315789,26.0
Polyphagotars onemus latus,0.42028985507246375,0.6236559139784946,0.5021645021645021,93.0
Pseudococcus comstocki Kuwana,0.8823529411764706,0.7142857142857143,0.7894736842105263,42.0
parathrene regalis,0.6900826446280992,0.7260869565217392,0.7076271186440678,230.0
Ampelophaga,0.7899441340782123,0.8870765370138017,0.8356973995271868,1594.0
Lycorma delicatula,0.7790055248618785,0.8173913043478261,0.7977369165487977,345.0
Xylotrechus,0.6626506024096386,0.859375,0.7482993197278912,384.0
Cicadella viridis,0.543778801843318,0.4701195219123506,0.5042735042735043,251.0
Miridae,0.7140522875816994,0.8596721311475409,0.7801249628086879,1525.0
Trialeurodes vaporariorum,0.7777777777777778,0.8076923076923077,0.7924528301886793,208.0
Erythroneura apicalis,0.5714285714285714,0.7272727272727273,0.64,22.0
Papilio xuthus,0.9191176470588235,0.9259259259259259,0.922509225092251,135.0
Panonchus citri McGregor,0.5679012345679012,0.7931034482758621,0.6618705035971223,116.0
Phyllocoptes oleiverus ashmead,0.7659574468085106,0.6923076923076923,0.7272727272727273,52.0
Icerya purchasi Maskell,0.9156626506024096,0.7004608294930875,0.793733681462141,217.0
Unaspis yanonensis,0.593103448275862,0.6825396825396826,0.6346863468634686,126.0
